theta,V_unperturbed,V_perturbed_dvnet_poly
-0.7196263895486541,-8.813277,-9.518565
-0.7070474399847311,-8.892984,-9.593445
-0.694468490420808,-8.971524,-9.666786
-0.681889540856885,-9.048879,-9.738577
-0.669310591292962,-9.125028,-9.808799
-0.656731641729039,-9.199952,-9.877425
-0.6441526921651155,-9.273636,-9.944426
-0.6315737426011925,-9.34606,-10.009752
-0.6189947930372695,-9.41721,-10.073353
-0.6064158434733464,-9.487067,-10.135157
-0.5938368939094234,-9.555619,-10.195086
-0.5812579443455004,-9.622849,-10.253058
-0.5686789947815769,-9.688746,-10.309
-0.5561000452176539,-9.753297,-10.36285
-0.5435210956537309,-9.816487,-10.41458
-0.5309421460898078,-9.878309,-10.464216
-0.5183631965258848,-9.938752,-10.511841
-0.5057842469619618,-9.997807,-10.557605
-0.4932052973980383,-10.055464,-10.601722
-0.4806263478341153,-10.111716,-10.644455
-0.46804739827019226,-10.166554,-10.68608
-0.45546844870626924,-10.219974,-10.726866
-0.4428894991423462,-10.271968,-10.767027
-0.4303105495784232,-10.322532,-10.806702
-0.41773160001450016,-10.371658,-10.845941
-0.4051526504505767,-10.419346,-10.884708
-0.39257370088665366,-10.465586,-10.92289
-0.37999475132273064,-10.510378,-10.960325
-0.3674158017588076,-10.553716,-10.996821
-0.3548368521948846,-10.595596,-11.032183
-0.34225790263096156,-10.636016,-11.066225
-0.3296789530670381,-10.6749735,-11.098787
-0.31710000350311507,-10.712463,-11.129735
-0.30452105393919204,-10.748483,-11.158964
-0.291942104375269,-10.7830305,-11.186402
-0.279363154811346,-10.816104,-11.212
-0.26678420524742297,-10.847699,-11.235729
-0.2542052556834995,-10.877814,-11.257584
-0.24162630611957647,-10.906446,-11.277571
-0.22904735655565345,-10.933595,-11.295714
-0.21646840699173042,-10.95926,-11.312053
-0.2038894574278074,-10.983436,-11.326625
-0.19131050786388437,-11.006124,-11.33949
-0.17873155829996135,-11.027322,-11.350707
-0.16615260873603788,-11.04703,-11.360344
-0.15357365917211485,-11.065249,-11.368467
-0.14099470960819183,-11.081977,-11.375146
-0.1284157600442688,-11.097215,-11.380446
-0.11583681048034578,-11.110963,-11.38443
-0.10325786091642275,-11.123221,-11.38715
-0.09067891135249928,-11.133992,-11.388653
-0.07809996178857626,-11.143276,-11.388973
-0.06552101222465323,-11.151076,-11.388138
-0.052942062660730205,-11.157392,-11.386154
-0.04036311309680718,-11.162227,-11.383025
