theta,V_unperturbed,V_perturbed_lora_sin
2.324479404920735,6.4196863,7.364852
2.337058354484658,6.5322185,7.393057
2.349637304048581,6.643466,7.423602
2.362216253612504,6.7533913,7.456867
2.374795203176427,6.8619576,7.49317
2.38737415274035,6.969132,7.5327673
2.399953102304273,7.0748816,7.575853
2.412532051868196,7.179175,7.6225615
2.425111001432119,7.281983,7.672966
2.437689950996042,7.3832784,7.7270865
2.450268900559966,7.483035,7.784894
2.462847850123889,7.5812283,7.8463135
2.475426799687812,7.677834,7.911239
2.488005749251735,7.7728333,7.979533
2.500584698815658,7.866204,8.05104
2.513163648379581,7.95793,8.125591
2.525742597943504,8.047992,8.203015
2.5383215475074272,8.136376,8.283135
2.5509004970713502,8.223067,8.365782
2.5634794466352733,8.308054,8.45079
2.5760583961991963,8.391324,8.538008
2.5886373457631193,8.472865,8.627285
2.6012162953270423,8.5526705,8.718487
2.6137952448909663,8.63073,8.811479
2.6263741944548893,8.707036,8.906132
2.6389531440188123,8.781583,9.002313
2.6515320935827353,8.854364,9.09989
2.6641110431466584,8.925376,9.198717
2.6766899927105814,8.994612,9.298634
2.6892689422745044,9.062067,9.399465
2.7018478918384274,9.127742,9.501013
2.7144268414023505,9.19163,9.603048
2.7270057909662735,9.253728,9.705316
2.7395847405301965,9.314034,9.807526
2.7521636900941195,9.372546,9.909345
2.7647426396580426,9.429261,10.0104065
2.7773215892219665,9.484178,10.110302
2.7899005387858895,9.537292,10.208584
2.8024794883498125,9.588599,10.304783
2.8150584379137356,9.638103,10.398407
2.8276373874776586,9.685795,10.488953
2.8402163370415816,9.731674,10.575925
2.8527952866055046,9.775739,10.65885
2.8653742361694277,9.817983,10.7372875
2.8779531857333507,9.858405,10.810841
2.8905321352972737,9.896999,10.879172
2.9031110848611967,9.933764,10.942002
2.9156900344251198,9.968696,10.9991255
2.9282689839890437,10.00179,11.050404
2.9408479335529667,10.033041,11.095776
2.9534268831168897,10.062446,11.135248
2.9660058326808127,10.089999,11.168915
2.9785847822447358,10.115699,11.196936
2.991163731808659,10.139541,11.219555
3.003742681372582,10.161517,11.237091
3.016321630936505,10.181628,11.249939
3.028900580500428,10.199865,11.258554
3.041479530064351,10.216229,11.263461
3.054058479628274,10.230714,11.265213
3.066637429192197,10.243316,11.2644005
3.07921637875612,10.254032,11.261602
3.091795328320044,10.262858,11.257385
3.104374277883967,10.26979,11.252263
3.11695322744789,10.274828,11.246673
3.129532177011813,10.277966,11.240962
3.142111126575736,10.279202,11.235363
3.154690076139659,10.278533,11.229983
3.167269025703582,10.275958,11.224806
3.179847975267505,10.271472,11.219671
3.192426924831428,10.265073,11.2142935
3.205005874395351,10.256758,11.208273
3.217584823959274,10.246527,11.201092
3.230163773523197,10.234374,11.192143
3.24274272308712,10.220299,11.180741
3.255321672651044,10.204297,11.166143
3.267900622214967,10.186368,11.1475725
3.28047957177889,10.166507,11.124248
3.293058521342813,10.144712,11.09541
3.305637470906736,10.12098,11.060355
3.3182164204706592,10.09531,11.018471
3.3307953700345823,10.067698,10.96927
3.3433743195985053,10.038139,10.912413
3.3559532691624283,10.006633,10.847747
3.3685322187263513,9.973176,10.775298
3.3811111682902744,9.937766,10.695282
3.3936901178541974,9.900401,10.608079
3.4062690674181204,9.861079,10.514196
3.4188480169820443,9.819797,10.414231
3.4314269665459673,9.776553,10.308816
3.4440059161098904,9.731349,10.198578
3.4565848656738134,9.68418,10.084099
3.4691638152377364,9.635051,9.965897
3.4817427648016595,9.583959,9.844428
3.4943217143655825,9.530907,9.720087
3.5069006639295055,9.475898,9.59323
3.5194796134934285,9.418934,9.46421
3.5320585630573516,9.360021,9.333393
3.5446375126212746,9.299163,9.201189
3.5572164621851976,9.236369,9.06806
3.5697954117491215,9.171648,8.934529
3.5823743613130445,9.105009,8.801179
3.5949533108769676,9.036464,8.668638
3.6075322604408906,8.966026,8.537548
3.6201112100048136,8.893711,8.408559
3.6326901595687366,8.819536,8.28229
3.6452691091326597,8.743519,8.159301
3.6578480586965827,8.665683,8.040068
3.6704270082605057,8.586049,7.924959
3.6830059578244287,8.504642,7.81422
3.6955849073883518,8.421491,7.707963
3.708163856952275,8.336621,7.606159
3.720742806516198,8.250064,7.5086513
3.7333217560801217,8.161853,7.4151583
3.7459007056440448,8.07202,7.3252974
3.758479655207968,7.980601,7.2386045
3.771058604771891,7.887631,7.154559
3.783637554335814,7.7931485,7.0726147
3.796216503899737,7.697193,6.9922185
3.80879545346366,7.5998006,6.9128466
3.821374403027583,7.5010114,6.8340216
3.833953352591506,7.400864,6.7553387
3.846532302155429,7.2994003,6.676483
3.859111251719352,7.1966577,6.5972404
3.871690201283275,7.0926743,6.517516
3.884269150847198,6.987491,6.4373317
3.896848100411122,6.881142,6.3568273
3.909427049975045,6.773667,6.276259
3.922005999538968,6.6650977,6.195979
3.93458494910289,6.555471,6.1164246
3.947163898666814,6.444819,6.038098
3.959742848230736,6.3331723,5.96153
3.97232179779466,6.2205625,5.887267
3.984900747358584,6.107017,5.815818
3.997479696922506,5.9925637,5.7476363
4.01005864648643,5.8772273,5.6830606
