theta,V_unperturbed,V_perturbed_dvnet_sin
-3.4115215962281966,9.838422,9.981843
-3.3989426466642736,9.877931,10.052786
-3.3863636971003506,9.915611,10.118468
-3.3737847475364275,9.951461,10.178728
-3.3612057979725036,9.985473,10.233503
-3.3486268484085815,10.017646,10.282839
-3.3360478988446576,10.047975,10.326858
-3.3234689492807346,10.076455,10.365755
-3.3108899997168115,10.103081,10.399767
-3.2983110501528885,10.1278515,10.4291725
-3.2857321005889655,10.150762,10.454255
-3.2731531510250425,10.171805,10.475303
-3.2605742014611194,10.190981,10.4926
-3.2479952518971964,10.208282,10.506417
-3.2354163023332734,10.223706,10.517004
-3.2228373527693503,10.23725,10.524596
-3.2102584032054273,10.24891,10.529403
-3.1976794536415034,10.258681,10.531611
-3.1851005040775813,10.266561,10.53139
-3.1725215545136574,10.272547,10.528886
-3.1599426049497343,10.276634,10.524223
-3.1473636553858113,10.278822,10.517512
-3.1347847058218883,10.279106,10.508839
-3.1222057562579653,10.277484,10.498275
-3.1096268066940422,10.273953,10.485871
-3.097047857130119,10.268511,10.471661
-3.084468907566196,10.261155,10.455657
-3.071889958002273,10.251883,10.437848
-3.05931100843835,10.240691,10.418201
-3.046732058874427,10.227577,10.396647
-3.034153109310503,10.212539,10.373088
-3.021574159746581,10.195575,10.347382
-3.008995210182657,10.176679,10.319328
-2.996416260618734,10.155851,10.288676
-2.983837311054811,10.133088,10.255094
-2.971258361490888,10.108388,10.218169
-2.958679411926965,10.081746,10.177394
-2.946100462363042,10.053162,10.132173
-2.933521512799119,10.022629,10.081817
-2.920942563235196,9.990149,10.025585
-2.908363613671273,9.955715,9.962724
-2.89578466410735,9.91933,9.892556
-2.883205714543427,9.880986,9.8145685
-2.870626764979503,9.840684,9.728539
-2.858047815415581,9.798421,9.634623
-2.845468865851657,9.754197,9.53339
-2.832889916287734,9.708011,9.425788
-2.820310966723811,9.659862,9.3130245
-2.807732017159888,9.60975,9.196399
-2.795153067595965,9.557678,9.077136
-2.782574118032042,9.503647,8.956285
-2.7699951684681188,9.4476595,8.834683
-2.7574162189041957,9.38972,8.712992
-2.7448372693402727,9.329834,8.59176
-2.7322583197763497,9.268008,8.471485
-2.7196793702124267,9.204249,8.352637
-2.7071004206485028,9.138567,8.235659
-2.6945214710845806,9.070975,8.1209345
-2.6819425215206567,9.00148,8.008746
-2.6693635719567337,8.930102,7.8992605
-2.6567846223928107,8.856854,7.792499
-2.6442056728288876,8.781756,7.6883607
-2.6316267232649646,8.704827,7.586633
-2.6190477737010416,8.626088,7.487026
-2.6064688241371186,8.545564,7.389204
-2.5938898745731955,8.463282,7.292812
-2.5813109250092725,8.379268,7.1974936
-2.5687319754453486,8.29355,7.1029115
-2.5561530258814265,8.2061615,7.008763
-2.5435740763175025,8.117136,6.9147744
-2.5309951267535804,8.0265045,6.8207064
-2.5184161771896565,7.934306,6.7263613
-2.5058372276257335,7.840575,6.631568
-2.4932582780618104,7.7453547,6.536193
-2.4806793284978874,7.6486754,6.440118
-2.4681003789339644,7.5505795,6.3432555
-2.4555214293700414,7.451106,6.2455378
-2.4429424798061183,7.3502965,6.146914
-2.4303635302421953,7.248187,6.047342
-2.4177845806782723,7.1448193,5.946798
-2.4052056311143484,7.040231,5.8452625
-2.3926266815504262,6.934461,5.742728
-2.3800477319865023,6.827544,5.639188
-2.36746878242258,6.719517,5.534644
-2.3548898328586563,6.610416,5.429103
-2.3423108832947332,6.500272,5.322569
-2.3297319337308102,6.3891187,5.215054
-2.317152984166887,6.2769866,5.1065683
-2.304574034602964,6.1639047,4.997123
-2.291995085039041,6.0499024,4.8867326
-2.279416135475118,5.935004,4.7754073
-2.266837185911195,5.8192363,4.6631613
-2.254258236347272,5.702621,4.550006
-2.241679286783348,5.5851827,4.435954
-2.229100337219426,5.466942,4.321017
-2.216521387655502,5.3479195,4.205206
-2.203942438091579,5.2281327,4.0885305
-2.191363488527656,5.107602,3.9710016
-2.178784538963733,4.986344,3.8526282
-2.16620558939981,4.864376,3.7334194
-2.153626639835887,4.741715,3.6133842
-2.141047690271964,4.6183743,3.492528
-2.128468740708041,4.494372,3.3708596
-2.115889791144118,4.369723,3.2483873
-2.103310841580195,4.244441,3.125115
-2.090731892016272,4.118542,3.0010505
-2.078152942452348,3.9920464,2.8762035
-2.065573992888426,3.8649592,2.7505717
-2.052995043324502,3.7373004,2.6241632
-2.0404160937605798,3.609085,2.496983
-2.027837144196656,3.4803302,2.369038
-2.015258194632733,3.3510516,2.2403312
-2.00267924506881,3.2212658,2.1108685
-1.9901002955048868,3.09099,1.9806536
-1.9775213459409637,2.9602416,1.8496909
-1.9649423963770407,2.829039,1.7179865
-1.9523634468131177,2.697401,1.5855445
-1.9397844972491938,2.5653462,1.4523695
-1.9272055476852716,2.432895,1.318468
-1.9146265981213477,2.3000674,1.1838462
-1.9020476485574256,2.1668844,1.04851
-1.8894686989935017,2.0333676,0.9124681
-1.8768897494295795,1.8995392,0.7757286
-1.8643107998656556,1.7654226,0.6383034
-1.8517318503017326,1.6310395,0.50020385
-1.8391529007378096,1.496416,0.3614453
-1.8265739511738865,1.3615757,0.22204542
-1.8139950016099635,1.2265433,0.08202374
-1.8014160520460405,1.0913445,-0.05859518
-1.7888371024821175,0.95600575,-0.19978231
-1.776258152918194,0.8205561,-0.34150237
-1.763679203354271,0.6850173,-0.48372227
-1.751100253790348,0.549419,-0.62639505
-1.738521304226425,0.4137888,-0.7694701
-1.725942354662502,0.27815506,-0.9128895
-1.7133634050985789,0.14254513,-1.0565896
-1.7007844555346554,0.006988667,-1.2004963
-1.6882055059707324,-0.1284864,-1.3445295
-1.6756265564068094,-0.26385072,-1.4885997
-1.6630476068428863,-0.39907646,-1.6326106
-1.6504686572789633,-0.534135,-1.7764546
-1.6378897077150403,-0.66899645,-1.9200146
-1.6253107581511173,-0.80363363,-2.063165
-1.6127318085871938,-0.9380175,-2.2057652
-1.6001528590232708,-1.0721203,-2.347664
-1.5875739094593477,-1.2059139,-2.4886913
-1.5749949598954247,-1.3393681,-2.6286564
-1.5624160103315017,-1.4724623,-2.767352
-1.5498370607675787,-1.6051661,-2.9045322
-1.5372581112036552,-1.737455,-3.039917
-1.5246791616397322,-1.8693023,-3.1731806
-1.5121002120758091,-2.0006843,-3.3039455
-1.499521262511886,-2.1315768,-3.4317758
-1.486942312947963,-2.2619562,-3.5561702
-1.47436336338404,-2.3918009,-3.6765742
-1.461784413820117,-2.5210888,-3.7923899
-1.4492054642561936,-2.6498,-3.9030185
-1.4366265146922705,-2.7779145,-4.0079184
-1.4240475651283475,-2.9054134,-4.1066914
-1.4114686155644245,-3.0322795,-4.199197
-1.3988896660005015,-3.1584954,-4.2856503
-1.3863107164365784,-3.2840471,-4.366703
-1.373731766872655,-3.408918,-4.4434342
-1.361152817308732,-3.5330932,-4.517246
-1.348573867744809,-3.6565645,-4.5896635
-1.335994918180886,-3.7793186,-4.662079
-1.3234159686169629,-3.9013448,-4.735529
-1.3108370190530398,-4.0226336,-4.8105617
-1.2982580694891164,-4.1431766,-4.8872137
-1.2856791199251933,-4.262966,-4.965093
-1.2731001703612703,-4.3819957,-5.0435143
-1.2605212207973473,-4.50026,-5.1216545
-1.2479422712334243,-4.617753,-5.198689
-1.2353633216695012,-4.734471,-5.2739105
-1.2227843721055782,-4.8504114,-5.3468103
-1.2102054225416548,-4.965571,-5.417134
-1.1976264729777317,-5.079946,-5.484907
-1.1850475234138087,-5.193537,-5.550446
-1.1724685738498857,-5.306341,-5.614315
-1.1598896242859627,-5.4183555,-5.677275
-1.1473106747220396,-5.5295835,-5.7402077
-1.1347317251581162,-5.640023,-5.804016
-1.1221527755941931,-5.7496734,-5.8695426
-1.10957382603027,-5.858533,-5.9375014
-1.096994876466347,-5.9666023,-6.0084376
-1.084415926902424,-6.0738792,-6.0827107
-1.071836977338501,-6.1803637,-6.160513
-1.0592580277745776,-6.286053,-6.2418957
-1.0466790782106545,-6.3909464,-6.3268094
-1.0341001286467315,-6.4950395,-6.415143
-1.0215211790828085,-6.5983315,-6.5067663
-1.0089422295188855,-6.700816,-6.601548
-0.9963632799549624,-6.80249,-6.6993876
-0.9837843303910394,-6.9033475,-6.800221
-0.9712053808271159,-7.003382,-6.9040303
-0.9586264312631929,-7.102585,-7.0108366
-0.9460474816992699,-7.20095,-7.1207023
-0.9334685321353469,-7.2984686,-7.233705
-0.9208895825714238,-7.3951297,-7.349925
-0.9083106330075008,-7.4909215,-7.4694176
-0.8957316834435773,-7.585832,-7.592187
-0.8831527338796543,-7.679849,-7.718155
-0.8705737843157313,-7.772957,-7.8471327
-0.8579948347518083,-7.8651423,-7.9788065
-0.8454158851878852,-7.956388,-8.112724
-0.8328369356239622,-8.0466795,-8.248322
-0.8202579860600392,-8.135999,-8.38494
-0.8076790364961157,-8.224326,-8.521883
-0.7951000869321927,-8.311646,-8.658467
-0.7825211373682697,-8.397936,-8.794063
-0.7699421878043466,-8.48318,-8.928149
-0.7573632382404236,-8.567353,-9.060305
-0.7447842886765006,-8.650442,-9.190238
-0.7322053391125771,-8.732424,-9.317746
-0.7196263895486541,-8.813277,-9.442701
-0.7070474399847311,-8.892984,-9.56503
-0.694468490420808,-8.971524,-9.684673
-0.681889540856885,-9.048879,-9.8015785
-0.669310591292962,-9.125028,-9.9156685
-0.656731641729039,-9.199952,-10.026839
-0.6441526921651155,-9.273636,-10.134951
-0.6315737426011925,-9.34606,-10.2398205
-0.6189947930372695,-9.41721,-10.341229
-0.6064158434733464,-9.487067,-10.438922
-0.5938368939094234,-9.555619,-10.532623
-0.5812579443455004,-9.622849,-10.622035
-0.5686789947815769,-9.688746,-10.706864
-0.5561000452176539,-9.753297,-10.786826
-0.5435210956537309,-9.816487,-10.861654
-0.5309421460898078,-9.878309,-10.931123
-0.5183631965258848,-9.938752,-10.995035
-0.5057842469619618,-9.997807,-11.053235
-0.4932052973980383,-10.055464,-11.105591
-0.4806263478341153,-10.111716,-11.151992
-0.46804739827019226,-10.166554,-11.192326
-0.45546844870626924,-10.219974,-11.226483
-0.4428894991423462,-10.271968,-11.254341
-0.4303105495784232,-10.322532,-11.275777
-0.41773160001450016,-10.371658,-11.2906885
-0.4051526504505767,-10.419346,-11.299036
-0.39257370088665366,-10.465586,-11.300866
