theta,delta_V_learned,delta_V_true
-0.08668339330463937,-5.315843,-5.627589313438827
-0.07409183958283805,-5.3069735,-5.627590849392653
-0.06150028586103495,-5.298436,-5.627591773021686
-0.04890873213923186,-5.2902365,-5.627592273852185
-0.036317178417428764,-5.28237,-5.627592506210284
-0.02372562469562567,-5.274818,-5.627592589221985
-0.011134070973822574,-5.2675505,-5.627592606813164
0.0014574827479787444,-5.26053,-5.627592607709569
0.01404903646978184,-5.2537093,-5.627592605436819
0.026640590191584934,-5.247036,-5.6275925783204075
0.03923214391338803,-5.240452,-5.627592469485698
0.051823697635191124,-5.2338986,-5.627592186857929
0.06441525135699244,-5.227318,-5.627591603162206
0.07700680507879554,-5.220651,-5.627590555923512
0.08959835880059863,-5.2138476,-5.627588847466699
0.10218991252240173,-5.20686,-5.627586244916492
0.11478146624420482,-5.1996503,-5.627582480197489
0.12737301996600792,-5.1921883,-5.627577250034159
0.13996457368780924,-5.1844544,-5.627570215950843
0.15255612740961233,-5.1764407,-5.627561004271756
0.16514768113141542,-5.1681485,-5.627549206120983
0.17773923485321852,-5.1595907,-5.6275343774224815
0.19033078857502161,-5.15079,-5.627516038900082
0.20292234229682293,-5.141779,-5.627493676077487
0.21551389601862603,-5.1325965,-5.627466739278271
0.22810544974042912,-5.1232886,-5.62743464362588
0.24069700346223222,-5.113905,-5.627396769043632
0.2532885571840353,-5.1044984,-5.627352460254721
0.2658801109058384,-5.0951204,-5.627301026782207
0.2784716646276397,-5.085823,-5.6272417429490265
0.2910632183494428,-5.076653,-5.627173847877986
0.3036547720712459,-5.0676546,-5.627096545491765
0.316246325793049,-5.0588636,-5.627009004512916
0.3288378795148521,-5.05031,-5.626910358463863
0.3414294332366552,-5.042017,-5.6267997056669
0.3540209869584565,-5.0339994,-5.626676109244197
0.3666125406802596,-5.026265,-5.626538597117793
0.3792040944020627,-5.0188127,-5.6263861620096005
0.3917956481238658,-5.0116353,-5.626217761441405
0.4043872018456689,-5.0047207,-5.626032317734862
0.4169787555674702,-4.998049,-5.625828718011501
0.4295703092892733,-4.9915967,-5.625605814192723
0.4421618630110764,-4.985338,-5.6253624229998005
0.4547534167328795,-4.979242,-5.625097325953879
0.4673449704546826,-4.9732776,-5.624809269375977
0.4799365241764857,-4.9674106,-5.6244969643869815
0.492528077898287,-4.9616084,-5.624159086907657
0.5051196316200901,-4.955838,-5.623794277658635
0.5177111853418932,-4.950066,-5.623401142160423
0.5303027390636963,-4.944263,-5.622978250733399
0.5428942927854994,-4.9383984,-5.622524138497813
0.5554858465073007,-4.932446,-5.622037305373787
0.5680774002291038,-4.9263816,-5.621516216081316
0.5806689539509069,-4.920183,-5.620959300140267
0.59326050767271,-4.913832,-5.620364951870379
0.6058520613945131,-4.907313,-5.619731530391262
0.6184436151163162,-4.900614,-5.619057359622401
0.6310351688381175,-4.8937254,-5.618340728283149
0.6436267225599206,-4.8866415,-5.617579889892736
0.6562182762817237,-4.87936,-5.6167730627702595
0.6688098300035268,-4.871881,-5.615918430034692
0.6814013837253299,-4.864209,-5.615014139604877
0.693992937447133,-4.8563495,-5.614058304199532
0.7065844911689343,-4.848312,-5.613049001337244
0.7191760448907374,-4.8401084,-5.611984273336475
0.7317675986125405,-4.831752,-5.610862127315555
0.7443591523343436,-4.823259,-5.60968053519269
0.7569507060561467,-4.8146477,-5.608437433685957
0.769542259777948,-4.8059363,-5.607130724313304
0.7821338134997511,-4.797146,-5.605758273392554
0.7947253672215542,-4.788297,-5.604317912041399
0.8073169209433573,-4.7794127,-5.602807436177404
0.8199084746651604,-4.7705135,-5.601224606518007
0.8325000283869635,-4.7616224,-5.599567148580518
0.8450915821087648,-4.752762,-5.597832752682119
0.8576831358305679,-4.743952,-5.596019073939863
0.870274689552371,-4.7352138,-5.594123732270678
0.8828662432741741,-4.7265673,-5.59214431239136
0.8954577969959772,-4.718031,-5.590078363818582
0.9080493507177785,-4.709622,-5.587923400868884
0.9206409044395816,-4.7013555,-5.585676902658682
0.9332324581613847,-4.693247,-5.5833363131042635
0.9458240118831878,-4.6853085,-5.5808990409217865
0.9584155656049909,-4.677551,-5.578362459627283
0.971007119326794,-4.669984,-5.5757239075366565
0.9835986730485953,-4.6626153,-5.572980687765681
0.9961902267703984,-4.6554513,-5.570130068230006
1.0087817804922015,-4.6484966,-5.567169281645151
1.0213733342140046,-4.641754,-5.564095525526506
1.0339648879358077,-4.6352253,-5.560905962189337
1.0465564416576107,-4.6289105,-5.55759771874878
1.059147995379412,-4.622809,-5.554167887119844
1.0717395491012152,-4.616918,-5.5506135240174075
1.0843311028230183,-4.611235,-5.546931650956225
1.0969226565448214,-4.6057553,-5.54311925425092
1.1095142102666244,-4.600474,-5.53917328501599
1.1221057639884258,-4.595385,-5.535090659165807
1.1346973177102289,-4.5904818,-5.530868257414607
1.147288871432032,-4.5857573,-5.526502925276507
1.159880425153835,-4.581204,-5.5219914730654915
1.1724719788756381,-4.576813,-5.517330675895419
1.1850635325974412,-4.5725775,-5.512517273680018
1.1976550863192426,-4.5684867,-5.507547971132893
1.2102466400410457,-4.5645323,-5.502419437767515
1.2228381937628487,-4.5607057,-5.497128307897232
1.2354297474846518,-4.556996,-5.4916711806352625
1.248021301206455,-4.5533943,-5.486044619894697
1.2606128549282563,-4.549891,-5.480245154388499
1.2732044086500593,-4.546475,-5.474269277629502
1.2857959623718624,-4.543137,-5.468113447930414
1.2983875160936655,-4.539866,-5.461774088403814
1.3109790698154686,-4.536652,-5.4552475869621535
1.3235706235372717,-4.533484,-5.448530296317755
1.336162177259073,-4.530351,-5.441618533982816
1.3487537309808761,-4.527242,-5.4345085822694035
1.3613452847026792,-4.524145,-5.427196688289457
1.3739368384244823,-4.521049,-5.4196790639547885
1.3865283921462854,-4.517941,-5.411951885977083
1.3991199458680885,-4.5148077,-5.404011295867897
1.4117114995898898,-4.5116363,-5.395853399938659
1.424303053311693,-4.5084124,-5.387474269300669
