theta,V_unperturbed,V_perturbed_lora_poly
-2.933521512799119,10.022629,2.94769
-2.920942563235196,9.990149,2.8259802
-2.908363613671273,9.955715,2.7023876
-2.89578466410735,9.91933,2.5771217
-2.883205714543427,9.880986,2.4503546
-2.870626764979503,9.840684,2.3222494
-2.858047815415581,9.798421,2.1929379
-2.845468865851657,9.754197,2.0625384
-2.832889916287734,9.708011,1.9311442
-2.820310966723811,9.659862,1.7988324
-2.807732017159888,9.60975,1.6656655
-2.795153067595965,9.557678,1.5316937
-2.782574118032042,9.503647,1.3969496
-2.7699951684681188,9.4476595,1.2614658
-2.7574162189041957,9.38972,1.1252522
-2.7448372693402727,9.329834,0.9883226
-2.7322583197763497,9.268008,0.8506769
-2.7196793702124267,9.204249,0.7123141
-2.7071004206485028,9.138567,0.57322824
-2.6945214710845806,9.070975,0.43341178
-2.6819425215206567,9.00148,0.29284814
-2.6693635719567337,8.930102,0.15153244
-2.6567846223928107,8.856854,0.009448409
-2.6442056728288876,8.781756,-0.13341475
-2.6316267232649646,8.704827,-0.2770666
-2.6190477737010416,8.626088,-0.4215185
-2.6064688241371186,8.545564,-0.56677455
-2.5938898745731955,8.463282,-0.7128422
-2.5813109250092725,8.379268,-0.8597222
-2.5687319754453486,8.29355,-1.0074129
-2.5561530258814265,8.2061615,-1.1559114
-2.5435740763175025,8.117136,-1.3052101
-2.5309951267535804,8.0265045,-1.4552999
-2.5184161771896565,7.934306,-1.6061659
-2.5058372276257335,7.840575,-1.7577934
-2.4932582780618104,7.7453547,-1.9101522
-2.4806793284978874,7.6486754,-2.0632343
-2.4681003789339644,7.5505795,-2.2170057
-2.4555214293700414,7.451106,-2.371438
-2.4429424798061183,7.3502965,-2.5264978
-2.4303635302421953,7.248187,-2.6821508
-2.4177845806782723,7.1448193,-2.8383617
-2.4052056311143484,7.040231,-2.9950862
-2.3926266815504262,6.934461,-3.1522875
-2.3800477319865023,6.827544,-3.3099208
-2.36746878242258,6.719517,-3.4679408
-2.3548898328586563,6.610416,-3.6263
-2.3423108832947332,6.500272,-3.7849545
-2.3297319337308102,6.3891187,-3.943853
-2.317152984166887,6.2769866,-4.102947
-2.304574034602964,6.1639047,-4.26219
-2.291995085039041,6.0499024,-4.42153
-2.279416135475118,5.935004,-4.5809164
-2.266837185911195,5.8192363,-4.740304
-2.254258236347272,5.702621,-4.899643
-2.241679286783348,5.5851827,-5.058886
-2.229100337219426,5.466942,-5.217986
-2.216521387655502,5.3479195,-5.3768964
-2.203942438091579,5.2281327,-5.535576
-2.191363488527656,5.107602,-5.69398
-2.178784538963733,4.986344,-5.85207
-2.16620558939981,4.864376,-6.009804
-2.153626639835887,4.741715,-6.1671443
-2.141047690271964,4.6183743,-6.3240604
-2.128468740708041,4.494372,-6.480517
-2.115889791144118,4.369723,-6.6364803
-2.103310841580195,4.244441,-6.7919273
-2.090731892016272,4.118542,-6.9468284
-2.078152942452348,3.9920464,-7.101155
-2.065573992888426,3.8649592,-7.2548985
-2.052995043324502,3.7373004,-7.4080353
-2.0404160937605798,3.609085,-7.5605483
-2.027837144196656,3.4803302,-7.7124214
-2.015258194632733,3.3510516,-7.8636465
-2.00267924506881,3.2212658,-8.014214
-1.9901002955048868,3.09099,-8.164117
-1.9775213459409637,2.9602416,-8.313351
-1.9649423963770407,2.829039,-8.461912
-1.9523634468131177,2.697401,-8.609804
-1.9397844972491938,2.5653462,-8.757026
-1.9272055476852716,2.432895,-8.903584
-1.9146265981213477,2.3000674,-9.049482
-1.9020476485574256,2.1668844,-9.19473
-1.8894686989935017,2.0333676,-9.3393345
-1.8768897494295795,1.8995392,-9.483309
-1.8643107998656556,1.7654226,-9.626665
-1.8517318503017326,1.6310395,-9.769417
-1.8391529007378096,1.496416,-9.911575
-1.8265739511738865,1.3615757,-10.05316
-1.8139950016099635,1.2265433,-10.194188
-1.8014160520460405,1.0913445,-10.334675
-1.7888371024821175,0.95600575,-10.474639
-1.776258152918194,0.8205561,-10.614096
-1.763679203354271,0.6850173,-10.753073
-1.751100253790348,0.549419,-10.8915825
-1.738521304226425,0.4137888,-11.029648
-1.725942354662502,0.27815506,-11.167285
-1.7133634050985789,0.14254513,-11.304515
-1.7007844555346554,0.006988667,-11.441355
-1.6882055059707324,-0.1284864,-11.577825
-1.6756265564068094,-0.26385072,-11.71394
-1.6630476068428863,-0.39907646,-11.849716
-1.6504686572789633,-0.534135,-11.985174
-1.6378897077150403,-0.66899645,-12.120323
-1.6253107581511173,-0.80363363,-12.25518
-1.6127318085871938,-0.9380175,-12.389753
-1.6001528590232708,-1.0721203,-12.524057
-1.5875739094593477,-1.2059139,-12.658098
-1.5749949598954247,-1.3393681,-12.79188
-1.5624160103315017,-1.4724623,-12.925415
-1.5498370607675787,-1.6051661,-13.058701
-1.5372581112036552,-1.737455,-13.191744
-1.5246791616397322,-1.8693023,-13.324537
-1.5121002120758091,-2.0006843,-13.457081
-1.499521262511886,-2.1315768,-13.589369
-1.486942312947963,-2.2619562,-13.721394
-1.47436336338404,-2.3918009,-13.853146
-1.461784413820117,-2.5210888,-13.984613
-1.4492054642561936,-2.6498,-14.115785
-1.4366265146922705,-2.7779145,-14.246641
-1.4240475651283475,-2.9054134,-14.377167
-1.4114686155644245,-3.0322795,-14.507344
-1.3988896660005015,-3.1584954,-14.63715
-1.3863107164365784,-3.2840471,-14.766563
-1.373731766872655,-3.408918,-14.895563
-1.361152817308732,-3.5330932,-15.024122
-1.348573867744809,-3.6565645,-15.152221
-1.335994918180886,-3.7793186,-15.279834
-1.3234159686169629,-3.9013448,-15.406936
-1.3108370190530398,-4.0226336,-15.533503
-1.2982580694891164,-4.1431766,-15.659511
-1.2856791199251933,-4.262966,-15.784933
-1.2731001703612703,-4.3819957,-15.909753
