theta,delta_V_true,delta_V_dvnet,delta_V_lora
-1.094007691048862,0.7884953059218351,-0.12714273,-0.12714273
-1.081416137327059,0.8410178106225168,-0.09610206,-0.09610206
-1.068824583605256,0.8878076330274935,-0.0688017,-0.0688017
-1.0562330298834546,0.9285637300995487,-0.045434296,-0.045434296
-1.0436414761616515,0.9630238794446596,-0.026151478,-0.026151478
-1.0310499224398484,0.9909663664358267,-0.011073887,-0.011073887
-1.0184583687180453,1.012211410712307,-0.0002811551,-0.0002811551
-1.0058668149962422,1.026622322876151,0.0061861873,0.0061861873
-0.9932752612744409,1.0341063839439595,0.008325279,0.008325279
-0.9806837075526378,1.034615441895515,0.006167114,0.006167114
-0.9680921538308347,1.0281462214811143,-0.00022631884,-0.00022631884
-0.9555006001090316,1.0147403452943446,-0.010761082,-0.010761082
-0.9429090463872285,0.994484065974696,-0.025323212,-0.025323212
-0.9303174926654272,0.9675077112630271,-0.043782055,-0.043782055
-0.9177259389436223,0.9339848454803222,-0.065985024,-0.065985024
-0.905134385221821,0.8941311528248416,-0.091771424,-0.091771424
-0.8925428315000179,0.8482030496722771,-0.12095767,-0.12095767
-0.8799512777782148,0.7964960348075355,-0.15335017,-0.15335017
-0.8673597240564117,0.7393427882024555,-0.18873006,-0.18873006
-0.8547681703346086,0.6771110305719302,-0.22685653,-0.22685653
-0.8421766166128073,0.6102011574799008,-0.26745826,-0.26745826
-0.8295850628910042,0.5390436632171959,-0.3102358,-0.3102358
-0.8169935091692011,0.4640963710259771,-0.35486013,-0.35486013
-0.804401955447398,0.38584148749118835,-0.40097696,-0.40097696
-0.7918104017255949,0.30478250005101715,-0.44821054,-0.44821054
-0.7792188480037936,0.22144093758756986,-0.4961775,-0.4961775
-0.7666272942819905,0.13635301493987179,-0.5444935,-0.5444935
-0.7540357405601874,0.05006618292837479,-0.5927914,-0.5927914
-0.7414441868383843,-0.0368643939123077,-0.64072496,-0.64072496
-0.7288526331165812,-0.12387940923020524,-0.6879881,-0.6879881
-0.7162610793947799,-0.2104190134010093,-0.7343033,-0.7343033
-0.7036695256729768,-0.29592641556853727,-0.77944165,-0.77944165
-0.6910779719511737,-0.37985146600513414,-0.8232029,-0.8232029
-0.6784864182293706,-0.46165419574355354,-0.8654173,-0.8654173
-0.6658948645075675,-0.5408082907063566,-0.9059265,-0.9059265
-0.6533033107857644,-0.6168044779805347,-0.9445732,-0.9445732
-0.6407117570639613,-0.6891538024502618,-0.98118955,-0.98118955
-0.62812020334216,-0.7573907727060917,-1.015579,-1.015579
-0.6155286496203569,-0.8210763559900629,-1.0475252,-1.0475252
-0.6029370958985538,-0.8798008029072542,-1.0767705,-1.0767705
-0.5903455421767507,-0.9331862837299636,-1.1030366,-1.1030366
-0.5777539884549476,-0.9808893193325221,-1.1260259,-1.1260259
-0.5651624347331463,-1.0226029911163086,-1.145436,-1.145436
-0.5525708810113432,-1.058058915706456,-1.1609714,-1.1609714
-0.5399793272895401,-1.0870289717150763,-1.1723659,-1.1723659
-0.527387773567737,-1.1093267674612277,-1.1793821,-1.1793821
-0.5147962198459339,-1.1248088402043073,-1.1818359,-1.1818359
-0.5022046661241326,-1.1333755791751055,-1.1795871,-1.1795871
-0.4896131124023295,-1.134971866465793,-1.1725509,-1.1725509
-0.4770215586805264,-1.1295874316553765,-1.1606891,-1.1606891
-0.46443000495872333,-1.1172569178890028,-1.1440046,-1.1440046
-0.45183845123692024,-1.0980596589859477,-1.1225355,-1.1225355
-0.4392468975151189,-1.0721191690103697,-1.09634,-1.09634
-0.42665534379331405,-1.0396023475888767,-1.0655,-1.0655
-0.4140637900715127,-1.0007184060879344,-1.0301025,-1.0301025
-0.40147223634970963,-0.9557175215598553,-0.9902399,-0.9902399
-0.38888068262790654,-0.9048892271180273,-0.94600564,-0.94600564
-0.37628912890610344,-0.8485605490974213,-0.89749604,-0.89749604
-0.36369757518430035,-0.7870939029858902,-0.8448189,-0.8448189
-0.35110602146249903,-0.7208847616636876,-0.7880915,-0.7880915
-0.33851446774069593,-0.6503591109535731,-0.7274464,-0.7274464
-0.32592291401889284,-0.575970708852483,-0.66305524,-0.66305524
-0.31333136029708974,-0.4981981660785353,-0.5951279,-0.5951279
-0.30073980657528665,-0.417541866717091,-0.5239275,-0.5239275
-0.28814825285348533,-0.33452074877822446,-0.44977552,-0.44977552
-0.27555669913168224,-0.24966896537924368,-0.37306577,-0.37306577
-0.26296514540987914,-0.1635324480342015,-0.29426557,-0.29426557
-0.25037359168807605,-0.07666539416175694,-0.21391374,-0.21391374
-0.23778203796627295,0.010373298589258076,-0.132613,-0.132613
-0.22519048424447163,0.09702362825528704,-0.051015675,-0.051015675
-0.21259893052266676,0.18272809157866524,0.03018111,0.03018111
-0.20000737680086544,0.26693527095151154,0.11026305,0.11026305
-0.18741582307906235,0.3491033822052026,0.18852443,0.18852443
-0.17482426935725925,0.428703760418546,0.2642843,0.2642843
-0.16223271563545616,0.5052242613176631,0.33690947,0.33690947
-0.14964116191365306,0.5781725563828971,0.40583342,0.40583342
-0.13704960819185175,0.6470793004623003,0.4705717,0.4705717
-0.12445805447004865,0.7115011515114946,0.5307247,0.5307247
-0.11186650074824556,0.7710236230309319,0.5859911,0.5859911
-0.09927494702644246,0.8252637508483301,0.6361553,0.6361553
-0.08668339330463937,0.8738725570882111,0.6810877,0.6810877
-0.07409183958283805,0.9165372954755561,0.7207424,0.7207424
-0.06150028586103495,0.9529834635274482,0.75513095,0.75513095
-0.04890873213923186,0.9829765686862882,0.7843296,0.7843296
-0.036317178417428764,1.0063236370315025,0.80844706,0.80844706
-0.02372562469562567,1.022874454862689,0.82763785,0.82763785
-0.011134070973822574,1.0325225351659593,0.84207267,0.84207267
0.0014574827479787444,1.0352058027452893,0.8519375,0.8519375
0.01404903646978184,1.0309069936107729,0.8574278,0.8574278
0.026640590191584934,1.019653766054143,0.8587362,0.8587362
0.03923214391338803,1.001518522696909,0.85606307,0.85606307
0.051823697635191124,0.9766179446560367,0.8495924,0.8495924
0.06441525135699244,0.9451122408243292,0.83951396,0.83951396
0.07700680507879554,0.9072041170955705,0.82600135,0.82600135
0.08959835880059863,0.8631374721664405,0.80922526,0.80922526
0.10218991252240173,0.8131958283062565,0.7893459,0.7893459
0.11478146624420482,0.7577005071909347,0.7665188,0.7665188
0.12737301996600792,0.6970085625377344,0.74089926,0.74089926
0.13996457368780924,0.6315104828421018,0.71263427,0.71263427
0.15255612740961233,0.5616276789970208,0.6818716,0.6818716
0.16514768113141542,0.4878097729595212,0.6487581,0.6487581
0.17773923485321852,0.4105317049087251,0.61344546,0.61344546
0.19033078857502161,0.3302906775079493,0.5760891,0.5760891
0.20292234229682293,0.24760295693125964,0.53684634,0.53684634
0.21551389601862603,0.16300055123643392,0.49589175,0.49589175
0.22810544974042912,0.07702778745565997,0.45339984,0.45339984
0.24069700346223222,-0.00976219057345544,0.4095661,0.4095661
0.2532885571840353,-0.09681098110364145,0.36460036,0.36460036
0.2658801109058384,-0.18355851720282118,0.31871623,0.31871623
0.2784716646276397,-0.2694466701926579,0.27216262,0.27216262
0.2910632183494428,-0.3539228406165515,0.2251913,0.2251913
0.3036547720712459,-0.4364435136328155,0.17808741,0.17808741
0.316246325793049,-0.5164777559580845,0.13115233,0.13115233
0.3288378795148521,-0.5935106318616349,0.08471316,0.08471316
0.3414294332366552,-0.6670465162323811,0.0391199,0.0391199
0.3540209869584565,-0.7366122834024409,-0.005253613,-0.005253613
0.3666125406802596,-0.80176035121062,-0.04800397,-0.04800397
0.3792040944020627,-0.8620715607203409,-0.08871442,-0.08871442
0.3917956481238658,-0.9171578730642717,-0.12694246,-0.12694246
0.4043872018456689,-0.9666648660641601,-0.16222554,-0.16222554
0.4169787555674702,-1.0102740145628217,-0.19410783,-0.19410783
0.4295703092892733,-1.04770473979678,-0.2221201,-0.2221201
0.4421618630110764,-1.0787162146239226,-0.24581319,-0.24581319
0.4547534167328795,-1.103108912991562,-0.2647665,-0.2647665
0.4673449704546826,-1.1207258936756261,-0.27861005,-0.27861005
0.4799365241764857,-1.1314538100315021,-0.28704053,-0.28704053
0.492528077898287,-1.1352236392598563,-0.2898472,-0.2898472
0.5051196316200901,-1.1320111264953714,-0.28693372,-0.28693372
0.5177111853418932,-1.1218369408611595,-0.27833635,-0.27833635
0.5303027390636963,-1.1047665424848088,-0.26423055,-0.26423055
