theta,delta_V_learned,delta_V_true
-1.1443739059360745,-5.675279,-5.527526387850142
-1.1317823522142696,-5.681619,-5.531858348916477
-1.1191907984924683,-5.68788,-5.536048112995808
-1.1065992447706652,-5.694038,-5.540098826425138
-1.094007691048862,-5.7000575,-5.544013600341335
-1.081416137327059,-5.705911,-5.547795510681144
-1.068824583605256,-5.7115626,-5.55144759818118
-1.0562330298834546,-5.7169757,-5.554972868377929
-1.0436414761616515,-5.7221045,-5.558374291607752
-1.0310499224398484,-5.7269187,-5.56165480300688
-1.0184583687180453,-5.7313724,-5.564817302511417
-1.0058668149962422,-5.7354274,-5.56786465485734
-0.9932752612744409,-5.7390447,-5.570799689580494
-0.9806837075526378,-5.7421927,-5.573625201016603
-0.9680921538308347,-5.74484,-5.576343948301258
-0.9555006001090316,-5.7469583,-5.578958655369922
-0.9429090463872285,-5.7485366,-5.581472010957934
-0.9303174926654272,-5.7495666,-5.583886668600502
-0.9177259389436223,-5.7500415,-5.586205246632707
-0.905134385221821,-5.749973,-5.588430328189502
-0.8925428315000179,-5.7493777,-5.590564461205712
-0.8799512777782148,-5.748285,-5.592610158416036
-0.8673597240564117,-5.7467246,-5.594569897355043
-0.8547681703346086,-5.744745,-5.596446120357173
-0.8421766166128073,-5.7423835,-5.598241234556742
-0.8295850628910042,-5.739695,-5.599957611887935
-0.8169935091692011,-5.7367253,-5.60159758908481
-0.804401955447398,-5.733517,-5.603163467681299
-0.7918104017255949,-5.7301097,-5.604657514011203
-0.7792188480037936,-5.7265325,-5.606081959208197
-0.7666272942819905,-5.7228036,-5.6074389992058284
-0.7540357405601874,-5.7189307,-5.608730794737515
-0.7414441868383843,-5.714894,-5.609959471336549
-0.7288526331165812,-5.71067,-5.611127119336094
-0.7162610793947799,-5.7062154,-5.612235793869184
-0.7036695256729768,-5.701468,-5.613287514868726
-0.6910779719511737,-5.69636,-5.614284267067503
-0.6784864182293706,-5.690804,-5.615227999998163
-0.6658948645075675,-5.6847224,-5.616120627993233
-0.6533033107857644,-5.678021,-5.616964030185107
-0.6407117570639613,-5.6706195,-5.617760050506054
-0.62812020334216,-5.6624436,-5.618510497688216
-0.6155286496203569,-5.653441,-5.619217145263603
-0.6029370958985538,-5.64356,-5.619881731564101
-0.5903455421767507,-5.6327996,-5.620505959721468
-0.5777539884549476,-5.621165,-5.621091497667331
-0.5651624347331463,-5.6086926,-5.621639978133192
-0.5525708810113432,-5.595452,-5.622152998650425
-0.5399793272895401,-5.5815434,-5.622632121550275
-0.527387773567737,-5.5670896,-5.623078873963859
-0.5147962198459339,-5.552238,-5.623494747822169
-0.5022046661241326,-5.537168,-5.623881199856063
-0.4896131124023295,-5.5220647,-5.6242396515962785
-0.4770215586805264,-5.507138,-5.62457148937342
-0.46443000495872333,-5.492597,-5.624878064317968
-0.45183845123692024,-5.4786515,-5.625160692360271
-0.4392468975151189,-5.465506,-5.625420654230552
-0.42665534379331405,-5.4533505,-5.625659195458906
-0.4140637900715127,-5.4423413,-5.6258775263753
-0.40147223634970963,-5.432613,-5.626076822109573
-0.38888068262790654,-5.4242406,-5.626258222591436
-0.37628912890610344,-5.417258,-5.626422832550474
-0.36369757518430035,-5.4116445,-5.62657172151614
-0.35110602146249903,-5.407314,-5.626705923817765
-0.33851446774069593,-5.4041257,-5.626826438584546
-0.32592291401889284,-5.4018836,-5.626934229745556
-0.31333136029708974,-5.400353,-5.627030226029739
-0.30073980657528665,-5.3992677,-5.627115320965912
-0.28814825285348533,-5.3983464,-5.6271903728827635
-0.27555669913168224,-5.3973107,-5.6272562049088535
-0.26296514540987914,-5.3958955,-5.627313604972614
-0.25037359168807605,-5.3938756,-5.627363325802351
-0.23778203796627295,-5.391066,-5.627406084926243
-0.22519048424447163,-5.387321,-5.627442564672336
-0.21259893052266676,-5.3825517,-5.627473412168553
-0.20000737680086544,-5.376714,-5.627499239342687
-0.18741582307906235,-5.3698106,-5.627520622922405
-0.17482426935725925,-5.361878,-5.627538104435244
-0.16223271563545616,-5.352985,-5.627552190208614
-0.14964116191365306,-5.343222,-5.627563351369796
-0.13704960819185175,-5.3326974,-5.6275720238459455
-0.12445805447004865,-5.3215184,-5.6275786083640895
-0.11186650074824556,-5.3098054,-5.627583470451125
-0.09927494702644246,-5.29767,-5.627586940433823
-0.08668339330463937,-5.2852244,-5.627589313438827
-0.07409183958283805,-5.272572,-5.627590849392653
-0.06150028586103495,-5.259805,-5.627591773021686
-0.04890873213923186,-5.2470098,-5.627592273852185
-0.036317178417428764,-5.234261,-5.627592506210284
-0.02372562469562567,-5.2216268,-5.627592589221985
-0.011134070973822574,-5.2091565,-5.627592606813164
0.0014574827479787444,-5.1969056,-5.627592607709569
0.01404903646978184,-5.1849046,-5.627592605436819
0.026640590191584934,-5.1731896,-5.6275925783204075
0.03923214391338803,-5.1617875,-5.627592469485698
0.051823697635191124,-5.1507096,-5.627592186857929
0.06441525135699244,-5.139977,-5.627591603162206
0.07700680507879554,-5.1295877,-5.627590555923512
0.08959835880059863,-5.119552,-5.627588847466699
0.10218991252240173,-5.1098657,-5.627586244916492
0.11478146624420482,-5.100529,-5.627582480197489
0.12737301996600792,-5.091532,-5.627577250034159
0.13996457368780924,-5.082865,-5.627570215950843
0.15255612740961233,-5.0745206,-5.627561004271756
0.16514768113141542,-5.066479,-5.627549206120983
0.17773923485321852,-5.0587277,-5.6275343774224815
0.19033078857502161,-5.051251,-5.627516038900082
0.20292234229682293,-5.0440297,-5.627493676077487
0.21551389601862603,-5.037045,-5.627466739278271
0.22810544974042912,-5.0302787,-5.62743464362588
0.24069700346223222,-5.023708,-5.627396769043632
0.2532885571840353,-5.0173125,-5.627352460254721
0.2658801109058384,-5.0110707,-5.627301026782207
0.2784716646276397,-5.0049596,-5.6272417429490265
0.2910632183494428,-4.998961,-5.627173847877986
0.3036547720712459,-4.9930463,-5.627096545491765
0.316246325793049,-4.9871984,-5.627009004512916
0.3288378795148521,-4.9813895,-5.626910358463863
0.3414294332366552,-4.9756,-5.6267997056669
0.3540209869584565,-4.969809,-5.626676109244197
0.3666125406802596,-4.9639916,-5.626538597117793
0.3792040944020627,-4.9581265,-5.6263861620096005
0.3917956481238658,-4.9521966,-5.626217761441405
0.4043872018456689,-4.946176,-5.626032317734862
0.4169787555674702,-4.9400516,-5.625828718011501
0.4295703092892733,-4.9337964,-5.625605814192723
0.4421618630110764,-4.927398,-5.6253624229998005
0.4547534167328795,-4.920838,-5.625097325953879
0.4673449704546826,-4.914101,-5.624809269375977
0.4799365241764857,-4.9071765,-5.6244969643869815
0.492528077898287,-4.900042,-5.624159086907657
0.5051196316200901,-4.892698,-5.623794277658635
0.5177111853418932,-4.8851256,-5.623401142160423
0.5303027390636963,-4.8773236,-5.622978250733399
0.5428942927854994,-4.869284,-5.622524138497813
0.5554858465073007,-4.8610053,-5.622037305373787
0.5680774002291038,-4.8524833,-5.621516216081316
0.5806689539509069,-4.84372,-5.620959300140267
0.59326050767271,-4.834722,-5.620364951870379
0.6058520613945131,-4.8254914,-5.619731530391262
0.6184436151163162,-4.816035,-5.619057359622401
0.6310351688381175,-4.8063684,-5.618340728283149
0.6436267225599206,-4.7964997,-5.617579889892736
0.6562182762817237,-4.786444,-5.6167730627702595
0.6688098300035268,-4.776221,-5.615918430034692
0.6814013837253299,-4.765844,-5.615014139604877
0.693992937447133,-4.7553363,-5.614058304199532
0.7065844911689343,-4.7447143,-5.613049001337244
0.7191760448907374,-4.7340074,-5.611984273336475
0.7317675986125405,-4.7232327,-5.610862127315555
0.7443591523343436,-4.712417,-5.60968053519269
0.7569507060561467,-4.7015834,-5.608437433685957
0.769542259777948,-4.6907535,-5.607130724313304
0.7821338134997511,-4.679953,-5.605758273392554
0.7947253672215542,-4.669206,-5.604317912041399
0.8073169209433573,-4.6585345,-5.602807436177404
0.8199084746651604,-4.647959,-5.601224606518007
0.8325000283869635,-4.637504,-5.599567148580518
0.8450915821087648,-4.6271806,-5.597832752682119
0.8576831358305679,-4.6170115,-5.596019073939863
0.870274689552371,-4.6070094,-5.594123732270678
0.8828662432741741,-4.597194,-5.59214431239136
0.8954577969959772,-4.5875697,-5.590078363818582
0.9080493507177785,-4.578153,-5.587923400868884
0.9206409044395816,-4.568952,-5.585676902658682
0.9332324581613847,-4.5599704,-5.5833363131042635
0.9458240118831878,-4.5512156,-5.5808990409217865
0.9584155656049909,-4.542688,-5.578362459627283
0.971007119326794,-4.5343947,-5.5757239075366565
0.9835986730485953,-4.5263343,-5.572980687765681
0.9961902267703984,-4.5185027,-5.570130068230006
1.0087817804922015,-4.510899,-5.567169281645151
1.0213733342140046,-4.5035186,-5.564095525526506
1.0339648879358077,-4.4963603,-5.560905962189337
1.0465564416576107,-4.4894147,-5.55759771874878
1.059147995379412,-4.482676,-5.554167887119844
1.0717395491012152,-4.4761424,-5.5506135240174075
1.0843311028230183,-4.4697986,-5.546931650956225
1.0969226565448214,-4.463638,-5.54311925425092
1.1095142102666244,-4.4576526,-5.53917328501599
1.1221057639884258,-4.4518332,-5.535090659165807
1.1346973177102289,-4.4461703,-5.530868257414607
1.147288871432032,-4.4406543,-5.526502925276507
1.159880425153835,-4.4352717,-5.5219914730654915
1.1724719788756381,-4.430013,-5.517330675895419
1.1850635325974412,-4.424871,-5.512517273680018
1.1976550863192426,-4.41983,-5.507547971132893
1.2102466400410457,-4.4148803,-5.502419437767515
1.2228381937628487,-4.410011,-5.497128307897232
1.2354297474846518,-4.405207,-5.4916711806352625
1.248021301206455,-4.400459,-5.486044619894697
1.2606128549282563,-4.3957534,-5.480245154388499
1.2732044086500593,-4.3910766,-5.474269277629502
1.2857959623718624,-4.386415,-5.468113447930414
1.2983875160936655,-4.3817554,-5.461774088403814
1.3109790698154686,-4.3770843,-5.4552475869621535
1.3235706235372717,-4.3723855,-5.448530296317755
1.336162177259073,-4.367645,-5.441618533982816
1.3487537309808761,-4.362844,-5.4345085822694035
1.3613452847026792,-4.3579707,-5.427196688289457
1.3739368384244823,-4.353004,-5.4196790639547885
1.3865283921462854,-4.3479295,-5.411951885977083
1.3991199458680885,-4.342729,-5.404011295867897
1.4117114995898898,-4.3373847,-5.395853399938659
1.424303053311693,-4.3318763,-5.387474269300669
1.436894607033496,-4.3261847,-5.3788699398651
1.4494861607552991,-4.320292,-5.370036412342998
1.4620777144771022,-4.314179,-5.360969652245278
1.4746692681989035,-4.3078227,-5.351665589882733
1.4872608219207066,-4.301208,-5.342120120366021
1.4998523756425097,-4.294309,-5.332329103605677
1.5124439293643128,-4.28711,-5.322288364312106
1.525035483086116,-4.27959,-5.311993691995587
1.537627036807919,-4.271731,-5.301440840966269
1.5502185905297203,-4.263512,-5.290625530334177
1.5628101442515234,-4.254914,-5.279543444009201
1.5754016979733265,-4.2459188,-5.2681902307011095
1.5879932516951296,-4.23651,-5.256561503919541
1.6005848054169327,-4.2266717,-5.244652841974007
1.613176359138734,-4.2163844,-5.232459787973893
1.6257679128605371,-4.2056403,-5.219977849828448
1.6383594665823402,-4.1944194,-5.207202500246802
1.6509510203041433,-4.182713,-5.194129176737955
1.6635425740259464,-4.170509,-5.180753281610778
1.6761341277477495,-4.1577992,-5.167070181974016
1.6887256814695508,-4.1445737,-5.1530752097362855
1.701317235191354,-4.1308265,-5.13876366160607
1.713908788913157,-4.1165566,-5.124130799091733
1.72650034263496,-4.1017566,-5.109171848501506
1.7390918963567632,-4.0864263,-5.093882000943494
1.7516834500785663,-4.0705676,-5.078256412325674
1.7642750038003676,-4.0541797,-5.062290203355895
1.7768665575221707,-4.037269,-5.045978459541875
1.7894581112439738,-4.01984,-5.029316231191208
1.802049664965777,-4.0018992,-5.012298533411361
1.81464121868758,-3.9834533,-4.994920346109669
1.8272327724093813,-3.9645123,-4.977176613993348
1.8398243261311844,-3.945088,-4.95906224656947
1.8524158798529875,-3.9251895,-4.940572118144994
1.8650074335747906,-3.9048305,-4.921701067826745
1.8775989872965937,-3.8840241,-4.902443899521421
1.8901905410183968,-3.862783,-4.882795381935592
1.902782094740198,-3.841123,-4.862750248575705
1.9153736484620012,-3.8190532,-4.842303197748067
1.9279652021838043,-3.7965875,-4.821448892558868
1.9405567559056074,-3.7737422,-4.800181960914166
1.9531483096274105,-3.7505279,-4.778496995519894
1.9657398633492118,-3.726952,-4.756388553881856
1.978331417071015,-3.7030272,-4.733851158305724
1.990922970792818,-3.678762,-4.710879295897045
2.003514524514621,-3.654163,-4.687467418561241
2.016106078236424,-3.6292338,-4.6636099430036015
2.0286976319582273,-3.6039786,-4.639301250729293
2.0412891856800286,-3.5783982,-4.614535688043353
2.0538807394018317,-3.5524898,-4.589307566050684
2.066472293123635,-3.5262523,-4.563611160656069
2.079063846845438,-3.499681,-4.537440712564161
2.091655400567241,-3.4727645,-4.510790427279484
2.104246954289044,-3.4454942,-4.483654475106435
2.1168385080108454,-3.4178596,-4.456026991149287
2.1294300617326485,-3.3898482,-4.427902075312172
2.1420216154544516,-3.361442,-4.39927379229911
2.1546131691762547,-3.3326268,-4.370136171613983
2.1672047228980578,-3.3033843,-4.340483207560551
2.179796276619859,-3.2736955,-4.310308859242446
2.192387830341662,-3.2435412,-4.279607050563163
2.2049793840634653,-3.2129016,-4.24837167022608
2.2049793840634653,-3.2129025,-4.24837167022608
2.2175709377852684,-3.1817603,-4.216596571734441
2.2301624915070715,-3.1500964,-4.184275573391366
2.2427540452288746,-3.1178927,-4.151402458299845
2.2553455989506768,-3.085135,-4.117970974362744
2.267937152672479,-3.051803,-4.0839748342827935
2.280528706394282,-3.0178866,-4.0494077155626
2.293120260116085,-2.9833732,-4.014263260504642
2.3057118138378883,-2.9482532,-3.9785350762112737
2.3183033675596914,-2.912521,-3.9422167345847163
2.3308949212814936,-2.8761687,-3.9053017723270687
2.3434864750032958,-2.8391976,-3.867783690940296
2.356078028725099,-2.8016076,-3.8296559567262345
2.368669582446902,-2.7634034,-3.7909120007865993
2.381261136168705,-2.7245889,-3.751545219022975
2.3938526898905073,-2.6851754,-3.7115489721368187
2.4064442436123104,-2.6451735,-3.670916585629455
2.4190357973341126,-2.6045976,-3.62964134980209
2.4316273510559157,-2.5634637,-3.5877165197557894
2.4442189047777187,-2.521791,-3.5451353153915015
2.456810458499522,-2.4795976,-3.5018909214100424
2.469402012221324,-2.4369054,-3.4579764873121057
2.4819935659431263,-2.3937354,-3.4133851273982487
2.4945851196649294,-2.3501105,-3.368109920768902
2.5071766733867324,-2.3060517,-3.322143911324374
2.5197682271085355,-2.261579,-3.275480107764842
2.5323597808303377,-2.2167153,-3.22811148359036
2.544951334552141,-2.171473,-3.1800309771008424
2.557542888273943,-2.1258693,-3.1312314913960906
2.570134441995746,-2.0799131,-3.0817058943757636
2.5827259957175492,-2.0336123,-3.031447018739404
2.5953175494393523,-1.9869666,-2.980447661986422
2.6079091031611545,-1.9399695,-2.9287005864161033
2.6205006568829567,-1.8926072,-2.8761985191276
2.63309221060476,-1.8448601,-2.822934152019935
2.645683764326563,-1.7966967,-2.7689001417920114
2.658275318048366,-1.7480812,-2.7140891099426
2.6708668717701682,-1.698956,-2.6584936427703485
2.6834584254919713,-1.6492686,-2.6021062913737647
2.6960499792137735,-1.5989456,-2.544919571651244
2.7086415329355766,-1.5479045,-2.486925964301039
2.7212330866573797,-1.4960518,-2.4281179148212853
2.733824640379183,-1.4432912,-2.3684878335099864
2.746416194100985,-1.3895144,-2.3080280954650236
2.759007747822788,-1.3346095,-2.2467310405841374
2.7715993015445903,-1.2784629,-2.1845889735649564
2.7841908552663934,-1.2209668,-2.1215941639049642
2.7967824089881965,-1.1620193,-2.057738845901531
2.8093739627099996,-1.101543,-1.9930152186518941
2.821965516431802,-1.0394721,-1.9274154460531658
2.834557070153604,-0.9757867,-1.8609316568023249
2.847148623875407,-0.91050386,-1.7935559443962186
2.85974017759721,-0.8436985,-1.7252803671315777
2.8723317313190133,-0.77551126,-1.656096948105001
2.8849232850408155,-0.706161,-1.5859976752129619
2.8975148387626186,-0.6359534,-1.5149745011517943
