theta,V_unperturbed
2.38737415274035,6.969132
2.399953102304273,7.0748816
2.412532051868196,7.179175
2.425111001432119,7.281983
2.437689950996042,7.3832784
2.450268900559966,7.483035
2.462847850123889,7.5812283
2.475426799687812,7.677834
2.488005749251735,7.7728333
2.500584698815658,7.866204
2.513163648379581,7.95793
2.525742597943504,8.047992
2.5383215475074272,8.136376
2.5509004970713502,8.223067
2.5634794466352733,8.308054
2.5760583961991963,8.391324
2.5886373457631193,8.472865
2.6012162953270423,8.5526705
2.6137952448909663,8.63073
2.6263741944548893,8.707036
2.6389531440188123,8.781583
2.6515320935827353,8.854364
2.6641110431466584,8.925376
2.6766899927105814,8.994612
2.6892689422745044,9.062067
2.7018478918384274,9.127742
2.7144268414023505,9.19163
2.7270057909662735,9.253728
2.7395847405301965,9.314034
2.7521636900941195,9.372546
2.7647426396580426,9.429261
2.7773215892219665,9.484178
2.7899005387858895,9.537292
2.8024794883498125,9.588599
2.8150584379137356,9.638103
2.8276373874776586,9.685795
2.8402163370415816,9.731674
2.8527952866055046,9.775739
2.8653742361694277,9.817983
2.8779531857333507,9.858405
2.8905321352972737,9.896999
2.9031110848611967,9.933764
2.9156900344251198,9.968696
2.9282689839890437,10.00179
2.9408479335529667,10.033041
2.9534268831168897,10.062446
2.9660058326808127,10.089999
2.9785847822447358,10.115699
2.991163731808659,10.139541
3.003742681372582,10.161517
3.016321630936505,10.181628
3.028900580500428,10.199865
3.041479530064351,10.216229
3.054058479628274,10.230714
3.066637429192197,10.243316
3.07921637875612,10.254032
3.091795328320044,10.262858
3.104374277883967,10.26979
3.11695322744789,10.274828
3.129532177011813,10.277966
3.142111126575736,10.279202
3.154690076139659,10.278533
3.167269025703582,10.275958
3.179847975267505,10.271472
3.192426924831428,10.265073
3.205005874395351,10.256758
3.217584823959274,10.246527
3.230163773523197,10.234374
3.24274272308712,10.220299
3.255321672651044,10.204297
3.267900622214967,10.186368
3.28047957177889,10.166507
3.293058521342813,10.144712
3.305637470906736,10.12098
3.3182164204706592,10.09531
3.3307953700345823,10.067698
3.3433743195985053,10.038139
3.3559532691624283,10.006633
3.3685322187263513,9.973176
3.3811111682902744,9.937766
3.3936901178541974,9.900401
3.4062690674181204,9.861079
3.4188480169820443,9.819797
3.4314269665459673,9.776553
3.4440059161098904,9.731349
3.4565848656738134,9.68418
3.4691638152377364,9.635051
3.4817427648016595,9.583959
3.4943217143655825,9.530907
3.5069006639295055,9.475898
3.5194796134934285,9.418934
3.5320585630573516,9.360021
3.5446375126212746,9.299163
3.5572164621851976,9.236369
3.5697954117491215,9.171648
3.5823743613130445,9.105009
3.5949533108769676,9.036464
3.6075322604408906,8.966026
3.6201112100048136,8.893711
3.6326901595687366,8.819536
3.6452691091326597,8.743519
3.6578480586965827,8.665683
3.6704270082605057,8.586049
3.6830059578244287,8.504642
3.6955849073883518,8.421491
3.708163856952275,8.336621
3.720742806516198,8.250064
3.7333217560801217,8.161853
3.7459007056440448,8.07202
3.758479655207968,7.980601
3.771058604771891,7.887631
3.783637554335814,7.7931485
3.796216503899737,7.697193
3.80879545346366,7.5998006
3.821374403027583,7.5010114
3.833953352591506,7.400864
3.846532302155429,7.2994003
3.859111251719352,7.1966577
3.871690201283275,7.0926743
3.884269150847198,6.987491
3.896848100411122,6.881142
3.909427049975045,6.773667
3.922005999538968,6.6650977
3.93458494910289,6.555471
3.947163898666814,6.444819
3.959742848230736,6.3331723
3.97232179779466,6.2205625
3.984900747358584,6.107017
3.997479696922506,5.9925637
4.01005864648643,5.8772273
4.022637596050352,5.7610335
4.035216545614276,5.644005
4.047795495178198,5.5261617
4.060374444742122,5.4075274
4.072953394306044,5.2881207
4.085532343869968,5.16796
4.09811129343389,5.0470643
4.110690242997814,4.925449
4.123269192561736,4.8031325
4.13584814212566,4.68013
4.148427091689584,4.5564575
4.161006041253506,4.4321294
4.17358499081743,4.307162
4.186163940381352,4.1815696
4.198742889945276,4.0553694
4.211321839509198,3.9285734
4.223900789073122,3.801198
4.236479738637044,3.673259
4.249058688200968,3.544773
4.26163763776489,3.4157536
4.274216587328814,3.2862196
4.286795536892736,3.1561863
4.29937448645666,3.025672
4.311953436020584,2.8946948
4.324532385584506,2.7632716
4.33711133514843,2.6314228
4.349690284712352,2.499167
4.362269234276276,2.3665278
4.374848183840198,2.2335193
4.387427133404122,2.100167
4.400006082968044,1.9664922
4.412585032531968,1.8325163
4.42516398209589,1.6982641
4.437742931659814,1.5637573
4.450321881223736,1.4290218
4.46290083078766,1.2940825
4.475479780351584,1.1589636
4.488058729915506,1.0236919
4.50063767947943,0.8882926
4.513216629043352,0.75279367
4.525795578607276,0.61722183
4.5383745281711985,0.48160368
4.550953477735122,0.34596857
4.5635324272990445,0.21034569
4.576111376862968,0.07475933
4.588690326426891,-0.060760237
4.6012692759908145,-0.19618303
4.613848225554737,-0.331482
4.6264271751186605,-0.46662736
4.639006124682584,-0.60159093
4.651585074246507,-0.7363442
4.6641640238104305,-0.8708582
4.676742973374353,-1.0051045
4.6893219229382765,-1.1390563
4.701900872502199,-1.2726852
4.714479822066123,-1.405964
4.727058771630045,-1.5388665
4.739637721193969,-1.6713662
4.752216670757891,-1.8034375
4.764795620321815,-1.9350525
4.777374569885739,-2.0661926
4.789953519449661,-2.196831
4.802532469013585,-2.3269458
4.815111418577507,-2.4565148
4.827690368141431,-2.5855172
4.840269317705353,-2.713932
4.852848267269277,-2.841741
4.865427216833199,-2.968926
4.878006166397123,-3.095469
4.890585115961045,-3.2213547
4.903164065524969,-3.3465676
4.915743015088891,-3.471094
4.928321964652815,-3.5949197
